,File Name,Mean,Median,Var,Std,Min,Max
38,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,384861.373,371357.5,26074900530.839874,161477.24462239214,5209,950175
39,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,389298.07,373367.5,29564705209.7611,171943.901345064,7693,1124517
40,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,1880264.229,1845943.0,127732507049.84856,357396.84812522976,779447,2969286
41,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,1925955.868,1906048.5,135442997444.43057,368025.81083998794,957618,3049730
42,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,1917312.518,1902414.5,136340515050.01768,369243.1652042021,707642,3104628
43,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,1904083.051,1896553.0,129137726036.17041,359357.37927051174,823168,3050285
44,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,3730344.645,3706866.5,276162652695.531,525511.8007195756,2441022,5523676
45,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,3828357.432,3812210.0,270234854005.8954,519841.18152171763,2337854,5670825
46,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,3813814.108,3821700.5,264210973514.67035,514014.56546937494,2303682,5499307
47,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,3819224.73,3813122.0,262168228063.28506,512023.6596713916,2296000,5352530
48,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,42997.404,38078.0,924421643.9727839,30404.303050272076,2042,209682
49,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,41009.117,36195.0,871109186.1673111,29514.558884850558,1698,150460
50,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,41213.222,36105.0,929340617.5347159,30485.088445578043,1476,151602
51,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,42768.22,37840.0,921080814.7116001,30349.31324942296,1405,159576
52,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,196618.409,194582.5,4083820184.4737196,63904.7743480385,33133,411340
53,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,204833.54,201109.0,4619368082.6904,67965.93325108102,34384,436435
54,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,205657.851,202911.0,4226598635.0967994,65012.29603003419,42112,472542
55,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,203162.548,200081.0,4488317662.471695,66994.90773537713,40684,448403
56,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,368263.779,364522.0,7717559232.67416,87849.6399120347,116546,694935
57,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,394084.908,388254.0,8943203327.851536,94568.51129129366,164824,739343
58,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,409064.268,407914.5,8556138241.114176,92499.39589594181,155606,753026
59,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,412302.763,407791.0,9380650248.732832,96853.75701919277,172536,730548
60,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,18304.081,10644.5,290815221.148439,17053.305285147482,1373,104998
61,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,18834.211,11736.5,312318433.914479,17672.533319093756,1157,107778
62,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,19707.846,13192.0,302807979.3682839,17401.378662861283,1333,120345
63,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,19434.488,12093.5,312689424.447856,17683.026450465317,1264,106187
64,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,89049.42,84244.5,1515906043.8856,38934.63809881376,20574,283184
65,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,93611.732,90606.5,1456081436.266176,38158.63514679444,14224,224781
66,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,92399.746,88988.5,1481263989.8334842,38487.192542889956,17343,230173
67,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,91618.872,86394.5,1470886178.883616,38352.133954756886,18366,227379
68,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,166237.851,161428.5,2398160504.7647986,48971.016987242554,62994,340295
69,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,178159.621,172890.5,2964557798.4913583,54447.75292416904,45823,389938
70,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,183861.153,178717.5,3225448724.3895907,56793.034118539494,64804,379471
71,TxRx50_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,184826.897,181993.5,3050283821.5023913,55229.37462530597,57280,404149
72,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,1217699.263,1161146.5,279366117351.0438,528550.960032279,14306,3354550
73,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,1234222.556,1183981.0,271212704026.7708,520780.8598890428,107826,3381360
74,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,1239557.177,1164114.0,295086008894.11365,543218.1963945185,43607,3190098
75,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,1233246.184,1185269.0,279688613454.98413,528855.9477352827,61111,2988155
